gene	transcript	entrez	ensemblGene	ensemblTranscript	chrom	start	end	strand
A1BG	NM_130786.4	1	ENSG00000121410.13	ENST00000263100.8	chr19	58345183	58353492	-
A2M	NM_000014.6	2	ENSG00000175899.15	ENST00000318602.12	chr12	9067708	9115919	-
NAT1	NM_000662.8	9	ENSG00000171428.15	ENST00000307719.9	chr8	18210109	18223689	+
NAT2	NM_000015.3	10	ENSG00000156006.5	ENST00000286479.4	chr8	18391282	18401218	+
SERPINA3	NM_001085.5	12	ENSG00000196136.18	ENST00000393078.5	chr14	94612391	94624053	+
AADAC	NM_001086.3	13	ENSG00000114771.14	ENST00000232892.12	chr3	151814116	151828488	+
AAMP	NM_001087.5	14	ENSG00000127837.10	ENST00000248450.9	chr2	218264129	218270137	-
AANAT	NM_001088.3	15	ENSG00000129673.10	ENST00000392492.8	chr17	76467603	76470117	+
AARS1	NM_001605.3	16	ENSG00000090861.17	ENST00000261772.13	chr16	70252298	70289506	-
ABAT	NM_020686.6	18	ENSG00000183044.12	ENST00000268251.13	chr16	8674617	8784570	+
ABCA1	NM_005502.4	19	ENSG00000165029.17	ENST00000374736.8	chr9	104781006	104928155	-
ABCA2	NM_001606.5	20	ENSG00000107331.18	ENST00000341511.11	chr9	137007234	137028237	-
ABCA3	NM_001089.3	21	ENSG00000167972.14	ENST00000301732.10	chr16	2275881	2340728	-
ABCB7	NM_001271696.3	22	ENSG00000131269.19	ENST00000373394.8	chr23	75051048	75156283	-
ABCF1	NM_001025091.2	23	ENSG00000204574.14	ENST00000326195.13	chr6	30571442	30591522	+
ABCA4	NM_000350.3	24	ENSG00000198691.14	ENST00000370225.4	chr1	93992834	94121148	-
ABL1	NM_005157.6	25	ENSG00000097007.20	ENST00000318560.6	chr9	130835254	130887675	+
AOC1	NM_001091.4	26	ENSG00000002726.21	ENST00000360937.9	chr7	150852517	150861504	+
ABL2	NM_007314.4	27	ENSG00000143322.22	ENST00000502732.6	chr1	179099330	179229677	-
ABR	NM_021962.5	29	ENSG00000159842.16	ENST00000302538.10	chr17	1003519	1179981	-
ACAA1	NM_001607.4	30	ENSG00000060971.19	ENST00000333167.13	chr3	38122715	38137127	-
ACACA	NM_198834.3	31	ENSG00000278540.5	ENST00000616317.5	chr17	37084992	37406836	-
ACACB	NM_001093.4	32	ENSG00000076555.16	ENST00000338432.12	chr12	109116587	109268226	+
ACADL	NM_001608.4	33	ENSG00000115361.8	ENST00000233710.4	chr2	210187923	210225447	-
ACADM	NM_000016.6	34	ENSG00000117054.15	ENST00000370841.9	chr1	75724709	75763679	+
ACADS	NM_000017.4	35	ENSG00000122971.9	ENST00000242592.9	chr12	120725826	120740008	+
ACADSB	NM_001609.4	36	ENSG00000196177.13	ENST00000358776.7	chr10	123009006	123058290	+
ACADVL	NM_000018.4	37	ENSG00000072778.20	ENST00000356839.10	chr17	7219938	7225266	+
ACAT1	NM_000019.4	38	ENSG00000075239.15	ENST00000265838.9	chr11	108121567	108147603	+
ACAT2	NM_005891.3	39	ENSG00000120437.9	ENST00000367048.5	chr6	159762045	159779112	+
