gene	v5	v6	v7	v8	chrom
ABCA10	FALSE	FALSE	TRUE	TRUE	chr17
ABCA12	FALSE	FALSE	TRUE	TRUE	chr2
ABCB1	TRUE	FALSE	FALSE	FALSE	chr7
ABCC4	TRUE	FALSE	FALSE	FALSE	chr13
ABCC9	FALSE	FALSE	TRUE	TRUE	chr12
ABCG2	TRUE	FALSE	FALSE	FALSE	chr4
ABL1	TRUE	TRUE	TRUE	TRUE	chr9
ABL2	TRUE	TRUE	TRUE	TRUE	chr1
ABRAXAS1	FALSE	FALSE	FALSE	TRUE	chr4
ACVR1	FALSE	TRUE	TRUE	TRUE	chr2
AKAP9	FALSE	FALSE	TRUE	TRUE	chr7
AKT1	TRUE	TRUE	TRUE	TRUE	chr14
AKT2	TRUE	TRUE	TRUE	TRUE	chr19
AKT3	TRUE	TRUE	TRUE	TRUE	chr1
ALK	TRUE	TRUE	TRUE	TRUE	chr2
ANGPTL1	FALSE	TRUE	TRUE	TRUE	chr1
ANKRD26	FALSE	TRUE	TRUE	TRUE	chr10
APC	TRUE	TRUE	TRUE	TRUE	chr5
AR	TRUE	TRUE	TRUE	TRUE	chrX
ARAF	TRUE	TRUE	TRUE	TRUE	chrX
ARID1A	TRUE	TRUE	TRUE	TRUE	chr1
ARID1B	FALSE	TRUE	TRUE	TRUE	chr6
ASPH	FALSE	FALSE	TRUE	TRUE	chr8
ASXL1	TRUE	TRUE	TRUE	TRUE	chr20
ASXL2	FALSE	TRUE	TRUE	TRUE	chr2
ATM	TRUE	TRUE	TRUE	TRUE	chr11
ATR	FALSE	TRUE	TRUE	TRUE	chr3
ATRX	TRUE	TRUE	TRUE	TRUE	chrX
AURKA	TRUE	TRUE	TRUE	TRUE	chr20
AURKB	TRUE	TRUE	TRUE	TRUE	chr17
AXIN2	FALSE	TRUE	TRUE	TRUE	chr17
AXL	TRUE	TRUE	TRUE	TRUE	chr19
BABAM1	FALSE	TRUE	TRUE	TRUE	chr19
BAK1	TRUE	TRUE	TRUE	TRUE	chr6
BAP1	TRUE	TRUE	TRUE	TRUE	chr3
BARD1	TRUE	TRUE	TRUE	TRUE	chr2
